Station,Date(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
1962,1965 09 11 09 00,0.0,-,28.0,0.0,24,D
1962,1965 09 12 09 00,0.0,-,30.7,0.0,24,D
1962,1965 09 13 09 00,0.0,-,33.3,0.0,24,D
1962,1965 09 14 09 00,0.0,-,36.0,0.0,24,D
1962,1965 09 15 09 00,0.0,-,38.6,0.0,24,D
1962,1965 09 16 09 00,9.1,-,32.2,0.0,24,D
1962,1965 09 17 09 00,2.5,-,32.3,0.0,24,D
1962,1965 09 18 09 00,1.8,-,33.2,0.0,24,D
1962,1965 09 19 09 00,3.3,-,32.5,0.0,24,D
1962,1965 09 20 09 00,0.0,-,35.2,0.0,24,D
1962,1965 09 21 09 00,0.5,-,37.3,0.0,24,D
1962,1965 09 22 09 00,0.0,-,40.0,0.0,24,D
1962,1965 09 23 09 00,0.0,-,42.6,0.0,24,D
1962,1965 09 24 09 00,7.6,-,37.7,0.0,24,D
1962,1965 09 25 09 00,6.1,-,34.2,0.0,24,D
1962,1965 09 26 09 00,1.3,-,35.6,0.0,24,D
1962,1965 09 27 09 00,0.0,-,38.2,0.0,24,D
1962,1965 09 28 09 00,3.8,-,37.1,0.0,24,D
1962,1965 09 29 09 00,0.0,-,39.7,0.0,24,D
1962,1965 09 30 09 00,0.0,-,42.4,0.0,24,D
1962,1965 10 01 09 00,0.0,-,45.0,0.0,24,D
1962,1965 10 02 09 00,0.0,-,48.2,0.0,24,D
1962,1965 10 03 09 00,6.6,-,44.8,0.0,24,D
1962,1965 10 04 09 00,0.0,-,47.9,0.0,24,D
1962,1965 10 05 09 00,1.0,-,50.1,0.0,24,D
1962,1965 10 06 09 00,0.8,-,52.5,0.0,24,D
1962,1965 10 07 09 00,12.2,-,43.4,0.0,24,D
1962,1965 10 08 09 00,4.3,-,42.3,0.0,24,D
1962,1965 10 09 09 00,0.0,-,45.5,0.0,24,D
1962,1965 10 10 09 00,0.0,-,48.6,0.0,24,D
1962,1965 10 11 09 00,0.0,-,51.8,0.0,24,D
1962,1965 10 12 09 00,0.8,-,54.1,0.0,24,D
1962,1965 10 13 09 00,0.5,-,56.8,0.0,24,D
1962,1965 10 14 09 00,0.8,-,59.2,0.0,24,D
1962,1965 10 15 09 00,0.5,-,61.8,0.0,24,D
1962,1965 10 16 09 00,0.0,-,65.0,0.0,24,D
1962,1965 10 17 09 00,9.9,-,58.3,0.0,24,D
1962,1965 10 18 09 00,2.5,-,58.9,0.0,24,D
1962,1965 10 19 09 00,0.0,-,62.1,0.0,24,D
1962,1965 10 20 09 00,0.0,-,65.3,0.0,24,D
1962,1965 10 21 09 00,0.0,-,68.4,0.0,24,D
1962,1965 10 22 09 00,6.6,-,65.0,0.0,24,D
1962,1965 10 23 09 00,9.9,-,58.3,0.0,24,D
1962,1965 10 24 09 00,0.0,-,61.4,0.0,24,D
1962,1965 10 25 09 00,0.0,-,64.6,0.0,24,D
1962,1965 10 26 09 00,0.0,-,67.7,0.0,24,D
1962,1965 10 27 09 00,0.0,-,70.9,0.0,24,D
1962,1965 10 28 09 00,0.8,-,73.3,0.0,24,D
1962,1965 10 29 09 00,1.3,-,75.1,0.0,24,D
1962,1965 10 30 09 00,2.3,-,76.0,0.0,24,D
1962,1965 10 31 09 00,3.6,-,75.5,0.0,24,D
1962,1965 11 01 09 00,10.2,-,68.4,0.0,24,D
1962,1965 11 02 09 00,15.5,-,57.3,0.0,24,D
1962,1965 11 03 09 00,1.5,-,60.3,0.0,24,D
1962,1965 11 04 09 00,0.0,-,64.7,0.0,24,D
1962,1965 11 05 09 00,0.0,-,69.1,0.0,24,D
1962,1965 11 06 09 00,0.0,-,73.6,0.0,24,D
1962,1965 11 07 09 00,0.5,-,77.5,0.0,24,D
1962,1965 11 08 09 00,14.2,-,67.6,0.0,24,D
1962,1965 11 09 09 00,1.1,-,71.0,0.0,24,D
1962,1965 11 10 09 00,0.0,-,75.4,0.0,24,D
1962,1965 11 11 09 00,0.0,-,79.8,0.0,24,D
1962,1965 11 12 09 00,0.0,-,84.0,0.0,24,D
1962,1965 11 13 09 00,0.0,-,87.9,0.0,24,D
1962,1965 11 14 09 00,11.6,-,80.0,0.0,24,D
1962,1965 11 15 09 00,10.1,-,74.0,0.0,24,D
1962,1965 11 16 09 00,2.2,-,76.2,0.0,24,D
1962,1965 11 17 09 00,0.0,-,80.6,0.0,24,D
1962,1965 11 18 09 00,0.0,-,84.7,0.0,24,D
1962,1965 11 19 09 00,15.7,-,72.9,0.0,24,D
1962,1965 11 20 09 00,4.3,-,73.0,0.0,24,D
1962,1965 11 21 09 00,1.3,-,76.2,0.0,24,D
1962,1965 11 22 09 00,0.0,-,80.5,0.0,24,D
1962,1965 11 23 09 00,0.0,-,84.6,0.0,24,D
1962,1965 11 24 09 00,0.0,-,88.5,0.0,24,D
1962,1965 11 25 09 00,0.0,-,92.2,0.0,24,D
1962,1965 11 26 09 00,0.0,-,95.6,0.0,24,D
1962,1965 11 27 09 00,3.4,-,95.4,0.0,24,D
1962,1965 11 28 09 00,0.0,-,98.6,0.0,24,D
1962,1965 11 29 09 00,4.1,-,97.6,0.0,24,D
1962,1965 11 30 09 00,2.5,-,98.2,0.0,24,D
1962,1965 12 01 09 00,0.9,-,100.3,0.0,24,D
1962,1965 12 02 09 00,0.0,-,103.8,0.0,24,D
1962,1965 12 03 09 00,0.0,-,107.1,0.0,24,D
1962,1965 12 04 09 00,0.0,-,110.1,0.0,24,D
1962,1965 12 05 09 00,0.0,-,112.9,0.0,24,D
1962,1965 12 06 09 00,0.0,-,115.5,0.0,24,D
1962,1965 12 07 09 00,0.0,-,117.9,0.0,24,D
1962,1965 12 08 09 00,3.7,-,116.4,0.0,24,D
1962,1965 12 09 09 00,0.0,-,118.8,0.0,24,D
1962,1965 12 10 09 00,0.0,-,121.0,0.0,24,D
1962,1965 12 11 09 00,0.0,-,123.0,0.0,24,D
1962,1965 12 12 09 00,0.0,-,124.9,0.0,24,D
1962,1965 12 13 09 00,0.0,-,126.6,0.0,24,D
1962,1965 12 14 09 00,0.0,-,128.3,0.0,24,D
1962,1965 12 15 09 00,0.0,-,129.8,0.0,24,D
1962,1965 12 16 09 00,0.0,-,131.2,0.0,24,D
1962,1965 12 17 09 00,5.5,-,127.0,0.0,24,D
1962,1965 12 18 09 00,43.9,-,84.7,0.0,24,D
1962,1965 12 19 09 00,0.0,-,89.3,0.0,24,D
1962,1965 12 20 09 00,10.3,-,83.3,0.0,24,D
1962,1965 12 21 09 00,7.4,-,80.5,0.0,24,D
1962,1965 12 22 09 00,1.3,-,84.1,0.0,24,D
1962,1965 12 23 09 00,0.0,-,88.7,0.0,24,D
1962,1965 12 24 09 00,0.0,-,93.0,0.0,24,D
1962,1965 12 25 09 00,0.0,-,97.0,0.0,24,D
1962,1965 12 26 09 00,0.8,-,99.9,0.0,24,D
1962,1965 12 27 09 00,9.0,-,94.4,0.0,24,D
1962,1965 12 28 09 00,4.5,-,93.8,0.0,24,D
1962,1965 12 29 09 00,1.6,-,96.1,0.0,24,D
1962,1965 12 30 09 00,3.9,-,96.0,0.0,24,D
1962,1965 12 31 09 00,0.0,-,99.8,0.0,24,D
1962,1966 01 01 09 00,0.0,-,103.3,0.0,24,D
1962,1966 01 02 09 00,0.0,-,105.9,0.0,24,D
1962,1966 01 03 09 00,26.3,-,82.1,0.0,24,D
1962,1966 01 04 09 00,0.0,-,85.9,0.0,24,D
1962,1966 01 05 09 00,0.0,-,89.5,0.0,24,D
1962,1966 01 06 09 00,1.4,-,91.4,0.0,24,D
1962,1966 01 07 09 00,9.0,-,85.7,0.0,24,D
1962,1966 01 08 09 00,5.3,-,84.0,0.0,24,D
1962,1966 01 09 09 00,1.4,-,86.3,0.0,24,D
1962,1966 01 10 09 00,2.7,-,87.2,0.0,24,D
1962,1966 01 11 09 00,0.0,-,90.7,0.0,24,D
1962,1966 01 12 09 00,0.5,-,93.5,0.0,24,D
1962,1966 01 13 09 00,0.6,-,96.0,0.0,24,D
1962,1966 01 14 09 00,0.0,-,99.0,0.0,24,D
1962,1966 01 15 09 00,0.6,-,101.3,0.0,24,D
1962,1966 01 16 09 00,0.0,-,104.0,0.0,24,D
1962,1966 01 17 09 00,0.0,-,106.6,0.0,24,D
1962,1966 01 18 09 00,0.0,-,109.0,0.0,24,D
1962,1966 01 19 09 00,0.0,-,111.3,0.0,24,D
1962,1966 01 20 09 00,0.0,-,113.5,0.0,24,D
1962,1966 01 21 09 00,5.6,-,109.9,0.0,24,D
1962,1966 01 22 09 00,5.1,-,107.0,0.0,24,D
1962,1966 01 23 09 00,33.1,-,76.3,0.0,24,D
1962,1966 01 24 09 00,12.2,-,68.3,0.0,24,D
1962,1966 01 25 09 00,0.8,-,71.7,0.0,24,D
1962,1966 01 26 09 00,0.0,-,75.8,0.0,24,D
1962,1966 01 27 09 00,0.0,-,80.0,0.0,24,D
1962,1966 01 28 09 00,0.0,-,83.9,0.0,24,D
1962,1966 01 29 09 00,0.0,-,87.6,0.0,24,D
1962,1966 01 30 09 00,0.0,-,91.1,0.0,24,D
1962,1966 01 31 09 00,4.6,-,89.8,0.0,24,D
1962,1966 02 01 09 00,6.8,-,86.3,0.0,24,D
1962,1966 02 02 09 00,30.4,-,59.6,0.0,24,D
1962,1966 02 03 09 00,0.0,-,63.9,0.0,24,D
1962,1966 02 04 09 00,0.0,-,68.2,0.0,24,D
1962,1966 02 05 09 00,0.0,-,72.5,0.0,24,D
1962,1966 02 06 09 00,0.0,-,76.8,0.0,24,D
1962,1966 02 07 09 00,0.0,-,81.0,0.0,24,D
1962,1966 02 08 09 00,0.0,-,85.0,0.0,24,D
1962,1966 02 09 09 00,0.0,-,88.7,0.0,24,D
1962,1966 02 10 09 00,0.0,-,92.2,0.0,24,D
1962,1966 02 11 09 00,0.0,-,95.6,0.0,24,D
1962,1966 02 12 09 00,1.8,-,96.9,0.0,24,D
1962,1966 02 13 09 00,0.0,-,99.9,0.0,24,D
1962,1966 02 14 09 00,1.0,-,101.8,0.0,24,D
1962,1966 02 15 09 00,0.0,-,104.6,0.0,24,D
1962,1966 02 16 09 00,0.3,-,106.9,0.0,24,D
1962,1966 02 17 09 00,57.9,-,51.5,0.0,24,D
1962,1966 02 18 09 00,32.3,-,23.5,0.0,24,D
1962,1966 02 19 09 00,0.0,-,27.8,0.0,24,D
1962,1966 02 20 09 00,0.0,-,32.1,0.0,24,D
1962,1966 02 21 09 00,3.7,-,32.7,0.0,24,D
1962,1966 02 22 09 00,4.2,-,32.8,0.0,24,D
1962,1966 02 23 09 00,0.3,-,36.8,0.0,24,D
1962,1966 02 24 09 00,5.7,-,35.4,0.0,24,D
1962,1966 02 25 09 00,0.5,-,39.2,0.0,24,D
1962,1966 02 26 09 00,0.0,-,43.5,0.0,24,D
1962,1966 02 27 09 00,0.0,-,47.8,0.0,24,D
1962,1966 02 28 09 00,0.0,-,52.1,0.0,24,D
1962,1966 03 01 09 00,66.5,-,0.0,10.1,24,D
1962,1966 03 02 09 00,3.1,-,0.7,0.0,24,D
1962,1966 03 03 09 00,14.5,-,0.0,10.1,24,D
1962,1966 03 04 09 00,5.9,-,0.0,2.1,24,D
1962,1966 03 05 09 00,8.7,-,0.0,4.9,24,D
1962,1966 03 06 09 00,0.0,-,3.8,0.0,24,D
1962,1966 03 07 09 00,0.0,-,7.5,0.0,24,D
1962,1966 03 08 09 00,6.4,-,4.9,0.0,24,D
